"Gene","Symbol","log2FoldChange","padj"
"ENSG00000198959","TGM2",1.63990506264029,7.32946341600279e-09
"ENSG00000185201","IFITM2",3.99848892025209,5.26464315906957e-06
"ENSG00000124143","ARHGAP40",1.02926609259143,0.000128602139079561
"ENSG00000206190","ATP10A",2.16795833546188,0.000149432614354147
"ENSG00000140105","WARS1",2.55535413231925,0.000151138731463994
"ENSG00000170775","GPR37",1.75106032745332,0.000191252566414356
"ENSG00000135709","KIAA0513",1.37477616640037,0.000282779154141468
"ENSG00000141574","SECTM1",2.89800811583598,0.000490197218713948
"ENSG00000125148","MT2A",2.94688812705575,0.000765325082300814
"ENSG00000275832","ARHGAP23",1.17113379230617,0.000765377876412418
