"sample","condition","genes_total","detected_counts_gt0","detected_tpm_ge0.1"
"SRR14523763","with_DMSO",60928,26326,21962
"SRR14523764","with_DMSO",60928,26381,21835
"SRR14523765","with_DMSO",60928,25840,21730
"SRR25454032","with_DMSO",60928,28547,22995
"SRR25454033","with_DMSO",60928,27600,22215
"SRR25454034","with_DMSO",60928,27220,22348
"SRR25454037","with_DMSO",60928,26794,22891
"SRR26176182","with_DMSO",60928,24203,20683
"SRR26176183","with_DMSO",60928,24975,21131
"SRR26176184","with_DMSO",60928,24396,20937
"SRR11550037","without_DMSO",60928,23645,21043
"SRR11550038","without_DMSO",60928,22876,20454
"SRR11550039","without_DMSO",60928,21750,20066
"SRR11550040","without_DMSO",60928,21699,20132
"SRR14523760","without_DMSO",60928,27211,23026
"SRR14523761","without_DMSO",60928,27469,22825
"SRR14523762","without_DMSO",60928,27750,22948
"SRR25454023","without_DMSO",60928,26089,22454
"SRR25454024","without_DMSO",60928,26395,22066
"SRR25454025","without_DMSO",60928,27861,22766
