Representative	Direction	Member
detection of chemical stimulus involved in sensory perception	Down	detection of chemical stimulus involved in sensory perception
detection of chemical stimulus involved in sensory perception	Down	detection of stimulus involved in sensory perception
detection of chemical stimulus involved in sensory perception	Down	detection of chemical stimulus involved in sensory perception of smell
detection of chemical stimulus involved in sensory perception	Down	sensory perception of chemical stimulus
detection of chemical stimulus involved in sensory perception	Down	detection of chemical stimulus involved in sensory perception of bitter taste
detection of chemical stimulus involved in sensory perception	Down	detection of chemical stimulus involved in sensory perception of taste
detection of chemical stimulus	Down	detection of chemical stimulus
detection of chemical stimulus	Down	detection of stimulus
nucleosome assembly	Down	nucleosome assembly
nucleosome organization	Down	nucleosome organization
sensory perception of smell	Down	sensory perception of smell
sensory perception of smell	Down	sensory perception
protein-DNA complex assembly	Down	protein-DNA complex assembly
protein-DNA complex assembly	Down	protein-DNA complex organization
nervous system process	Down	nervous system process
protein localization to CENP-A containing chromatin	Down	protein localization to CENP-A containing chromatin
system process	Down	system process
protein localization to chromatin	Down	protein localization to chromatin
protein localization to chromosome, centromeric region	Down	protein localization to chromosome, centromeric region
negative regulation of megakaryocyte differentiation	Down	negative regulation of megakaryocyte differentiation
negative regulation of megakaryocyte differentiation	Down	regulation of megakaryocyte differentiation
negative regulation of megakaryocyte differentiation	Down	megakaryocyte differentiation
sensory perception of bitter taste	Down	sensory perception of bitter taste
innate immune response in mucosa	Down	innate immune response in mucosa
mucosal immune response	Down	mucosal immune response
organ or tissue specific immune response	Down	organ or tissue specific immune response
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	Down	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition
flavonoid metabolic process	Down	flavonoid metabolic process
response to peptide	Up	response to peptide
positive regulation of multicellular organismal process	Up	positive regulation of multicellular organismal process
positive regulation of multicellular organismal process	Up	regulation of multicellular organismal process
response to cytokine	Up	response to cytokine
response to cytokine	Up	cellular response to cytokine stimulus
response to cytokine	Up	regulation of response to cytokine stimulus
response to external stimulus	Up	response to external stimulus
response to external stimulus	Up	response to external biotic stimulus
response to external stimulus	Up	regulation of response to external stimulus
response to external stimulus	Up	negative regulation of response to external stimulus
positive regulation of cellular process	Up	positive regulation of cellular process
regulation of cytokine production	Up	regulation of cytokine production
regulation of cytokine production	Up	cytokine production
regulation of cytokine production	Up	positive regulation of cytokine production
immune system process	Up	immune system process
immune system process	Up	positive regulation of immune system process
immune system process	Up	regulation of immune system process
immune system process	Up	negative regulation of immune system process
positive regulation of developmental process	Up	positive regulation of developmental process
regulation of cell population proliferation	Up	regulation of cell population proliferation
regulation of cell population proliferation	Up	cell population proliferation
regulation of cell population proliferation	Up	negative regulation of cell population proliferation
tissue development	Up	tissue development
response to biotic stimulus	Up	response to biotic stimulus
response to biotic stimulus	Up	regulation of response to biotic stimulus
response to other organism	Up	response to other organism
response to other organism	Up	defense response to other organism
defense response	Up	defense response
defense response	Up	defense response to symbiont
defense response	Up	regulation of defense response
defense response	Up	defense response to virus
defense response	Up	negative regulation of defense response
defense response	Up	defense response to bacterium
positive regulation of gene expression	Up	positive regulation of gene expression
cell migration	Up	cell migration
cell migration	Up	regulation of cell migration
biological process involved in interspecies interaction between organisms	Up	biological process involved in interspecies interaction between organisms
innate immune response	Up	innate immune response
innate immune response	Up	immune response
innate immune response	Up	positive regulation of immune response
innate immune response	Up	regulation of immune response
inflammatory response	Up	inflammatory response
inflammatory response	Up	regulation of inflammatory response
inflammatory response	Up	positive regulation of inflammatory response
antigen processing and presentation	Up	antigen processing and presentation
antigen processing and presentation	Up	antigen processing and presentation of endogenous peptide antigen
antigen processing and presentation	Up	antigen processing and presentation of endogenous antigen
positive regulation of cellular biosynthetic process	Up	positive regulation of cellular biosynthetic process
positive regulation of macromolecule biosynthetic process	Up	positive regulation of macromolecule biosynthetic process
response to lipid	Up	response to lipid
positive regulation of cell differentiation	Up	positive regulation of cell differentiation
negative regulation of cell adhesion	Up	negative regulation of cell adhesion
negative regulation of cell adhesion	Up	negative regulation of cell-cell adhesion
negative regulation of cell adhesion	Up	negative regulation of leukocyte cell-cell adhesion
antigen processing and presentation of endogenous peptide antigen via MHC class I	Up	antigen processing and presentation of endogenous peptide antigen via MHC class I
antigen processing and presentation of endogenous peptide antigen via MHC class I	Up	antigen processing and presentation of peptide antigen via MHC class Ib
antigen processing and presentation of endogenous peptide antigen via MHC class I	Up	antigen processing and presentation of endogenous peptide antigen via MHC class Ib
antigen processing and presentation of endogenous peptide antigen via MHC class I	Up	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway
antigen processing and presentation of endogenous peptide antigen via MHC class I	Up	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent
response to stress	Up	response to stress
response to stress	Up	regulation of response to stress
T cell mediated immunity	Up	T cell mediated immunity
locomotion	Up	locomotion
locomotion	Up	regulation of locomotion
response to bacterium	Up	response to bacterium
regulation of cell motility	Up	regulation of cell motility
regulation of peptidase activity	Up	regulation of peptidase activity
regulation of peptidase activity	Up	negative regulation of peptidase activity
response to virus	Up	response to virus
extrinsic apoptotic signaling pathway	Up	extrinsic apoptotic signaling pathway
extrinsic apoptotic signaling pathway	Up	regulation of extrinsic apoptotic signaling pathway
extrinsic apoptotic signaling pathway	Up	positive regulation of extrinsic apoptotic signaling pathway
regulation of angiogenesis	Up	regulation of angiogenesis
regulation of angiogenesis	Up	positive regulation of angiogenesis
antigen processing and presentation via MHC class Ib	Up	antigen processing and presentation via MHC class Ib
response to interferon-beta	Up	response to interferon-beta
regulation of molecular function	Up	regulation of molecular function
acute-phase response	Up	acute-phase response
regulation of leukocyte migration	Up	regulation of leukocyte migration
response to type I interferon	Up	response to type I interferon
response to type I interferon	Up	cellular response to type I interferon
skin development	Up	skin development
skin development	Up	skin epidermis development
regulation of proteolysis	Up	regulation of proteolysis
regulation of proteolysis	Up	negative regulation of proteolysis
regulation of hydrolase activity	Up	regulation of hydrolase activity
regulation of hydrolase activity	Up	negative regulation of hydrolase activity
positive regulation of vasculature development	Up	positive regulation of vasculature development
epidermis development	Up	epidermis development
negative regulation of protein metabolic process	Up	negative regulation of protein metabolic process
negative regulation of protein metabolic process	Up	regulation of protein metabolic process
regulation of binding	Up	regulation of binding
type I interferon-mediated signaling pathway	Up	type I interferon-mediated signaling pathway
type I interferon-mediated signaling pathway	Up	interferon-mediated signaling pathway
regulation of cytokine-mediated signaling pathway	Up	regulation of cytokine-mediated signaling pathway
regulation of protein processing	Up	regulation of protein processing
